Team,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
XVI,1,6,2,4,0.3333333333333333,0.679119934982004,73,78,-0.8333333333333334,1.0,28,0
LLLeeds Open 1,2,12,3,9,0.25,0.5397369431643625,117,155,-3.1666666666666665,1.0,50,1
SOLENT,2,13,3,10,0.23076923076923078,0.5555815826593815,110,153,-3.3076923076923075,1.0,40,1
Newcastle Brown 2,1,5,1,4,0.2,0.35333333333333333,35,62,-5.4,1.0,19,0
Dublin Frisbee 7s,1,5,1,4,0.2,0.5898934169278996,42,72,-6.0,1.0,30,0
Brixton,1,5,1,4,0.2,0.4621212121212121,31,69,-7.6,1.0,39,0
Plymouth Ultimate Open,1,6,1,5,0.16666666666666666,0.5156565656565656,41,76,-5.833333333333333,1.0,21,0
Curve,1,6,1,5,0.16666666666666666,0.486675250037319,42,84,-7.0,1.0,44,0
Flyght Open,2,12,2,10,0.16666666666666666,0.4722501512824093,84,141,-4.75,1.0,44,1
Zimmer,1,6,1,5,0.16666666666666666,0.5233835417456107,54,72,-3.0,1.0,37,0
St Albans Open,2,10,1,9,0.1,0.4994830659536542,81,131,-5.0,1.0,37,1
Guildford Ultimate Open,1,5,0,5,0.0,0.43212121212121213,28,64,-7.2,1.0,23,0
